,tags,freq,type
0,nissan,52,caption
1,toyota,50,caption
2,lexus,45,caption
3,bmw,45,caption
4,ford,41,caption
5,lamborghini,40,caption
6,ferrari,40,caption
7,mercedesbenz,39,caption
8,honda,35,caption
9,subaru,29,caption
10,mitsubishi,29,caption
11,kia,24,caption
12,detailing,23,caption
13,mercedes,22,caption
14,audi,21,caption
15,autodetailing,21,caption
16,volkswagen,21,caption
17,skoda,21,caption
18,volvo,21,caption
19,ceramiccoating,21,caption
20,bugatti,20,caption
21,opel,20,caption
22,jaguar,20,caption
23,glasscoating,20,caption
24,carcare,20,caption
25,shinemate,20,caption
26,osaka99,20,caption
27,wax,20,caption
28,ceramic,20,caption
29,porsche,19,caption
30,bentley,19,caption
31,maserati,19,caption
32,rollsroyce,19,caption
33,cargirl,19,caption
34,infinity,19,caption
35,landrover,18,caption
36,avtocar,18,caption
37,rzn,18,caption
38,russiaavto,18,caption
39,rx7,14,caption
40,jdm,12,caption
41,rotary,9,caption
42,mx5,9,caption
43,drift,8,caption
44,mazdaspeed,7,caption
45,mazda3,7,caption
46,rx8,7,caption
47,miata,7,caption
48,acura,6,caption
49,mazdarx7,6,caption
50,car,6,caption
51,13b,5,caption
52,fd3s,5,caption
53,wrx,5,caption
54,evo,5,caption
55,stance,5,caption
56,hyundai,5,caption
57,topmiata,4,caption
58,stancenation,4,caption
59,turbo,4,caption
60,suzuki,4,caption
61,2jz,3,caption
62,boost,3,caption
63,sti,3,caption
64,nismo,3,caption
65,r34,3,caption
66,supra,3,caption
67,drive,3,caption
68,gtr,3,caption
69,jdmgram,3,caption
70,twinturbo,3,caption
71,tuner,3,caption
72,bridgeport,3,caption
73,rotarypower,3,caption
74,racecar,3,caption
75,carporn,3,caption
76,auto,3,caption
77,renault,3,caption
78,tnavto79067640022,3,caption
79,isuzu,3,caption
80,infiniti,3,caption
81,daihatsu,3,caption
82,roadster,3,caption
83,mazdarx8,3,caption
84,20b,3,caption
85,zoomzoom,3,caption
86,miatagang,3,caption
87,mx5nutz,3,caption
88,volkracing,2,caption
89,fc3s,2,caption
90,reamemiya,2,caption
91,evo8,2,caption
92,evo9,2,caption
93,350z,2,caption
94,r32,2,caption
95,brz,2,caption
96,vw,2,caption
97,mazdacx3,2,caption
98,loweredlifestyle,2,caption
